driverId,week,hours-logged,miles-logged
16,49,62,1000
60,4,79,1600
34,35,61,2500
65,37,56,1200
77,4,72,1600
85,32,52,3500
49,35,77,1900
36,51,73,3700
57,22,68,900
43,15,59,1100
20,19,57,2800
61,34,54,2300
26,42,63,400
31,49,75,2400
95,48,80,2200
107,50,64,2000
24,22,69,700
97,21,71,1700
90,41,50,2100
59,44,62,500
39,1,61,1800
103,19,65,1400
19,17,51,3300
45,6,66,1400
28,49,53,2900
108,33,52,4000
71,20,74,2600
83,18,53,3200
84,19,73,200
96,3,54,500
60,44,58,0
27,32,55,2800
71,15,50,1000
26,23,74,1100
30,40,74,3800
61,9,52,3900
54,28,74,3600
48,8,51,3100
20,4,68,100
52,35,65,2700
83,15,64,1200
85,15,61,3800
82,14,51,3500
84,7,76,3600
57,33,73,1900
25,20,57,900
109,47,68,400
45,32,62,3800
34,36,80,3900
69,9,62,2000
52,49,59,2400
90,36,69,3400
29,32,67,2600
60,38,55,1100
26,37,72,2400
101,6,58,2400
60,37,67,600
69,12,59,4000
41,16,57,1400
50,36,80,1800
60,40,61,1100
93,12,58,2100
98,45,63,100
16,39,62,1700
64,36,77,1400
39,48,59,500
44,2,68,900
52,41,78,3500
92,26,51,700
77,51,68,2600
26,46,53,3800
100,17,72,2800
89,4,72,3800
57,42,74,3400
48,6,58,2600
45,21,79,1300
22,20,64,3100
64,12,80,4000
11,13,71,4000
101,20,68,1800
22,13,52,2600
26,9,58,2700
22,29,61,300
78,28,57,3000
73,35,70,3900
53,36,75,600
26,49,64,1700
94,23,61,1300
43,11,64,1900
14,34,71,2400
95,11,71,1600
37,17,62,100
55,23,65,1000
105,6,64,1400
96,26,67,2000
88,28,71,1400
44,46,66,3600
14,29,63,2800
43,21,57,2600
40,23,79,3700
102,39,68,1500
11,22,68,500
98,35,72,3900
95,52,52,400
59,43,52,700
102,43,73,2700
13,8,72,2000
33,49,75,3600
44,35,56,100
18,37,71,500
65,48,62,3000
46,28,60,3700
83,39,69,1200
79,3,50,2500
29,37,74,100
29,31,51,3800
36,6,57,2700
43,33,80,3500
81,28,57,2200
91,52,61,1200
109,51,63,3000
21,41,78,3200
89,3,73,900
94,9,55,800
54,37,53,1900
13,43,79,800
78,21,50,4000
36,43,51,3700
33,8,58,200
71,52,73,3800
19,14,52,3600
75,48,75,3500
72,10,77,3700
70,51,72,3200
34,21,59,1300
17,6,56,100
20,52,68,1400
54,2,63,2100
35,22,62,1000
95,4,61,3400
33,21,65,1200
63,21,57,3000
34,16,67,3200
37,40,68,1300
12,37,76,3400
34,35,74,3100
63,10,58,2900
47,20,58,400
94,1,50,1600
51,6,69,2600
94,42,58,2900
87,27,70,3500
45,46,65,3300
57,20,52,3700
59,24,64,800
99,27,80,3600
80,39,53,500
17,22,77,1600
97,35,57,2500
37,23,55,1800
89,45,79,3600
67,5,75,3300
26,7,68,1700
28,31,50,3600
49,6,66,400
66,19,67,100
36,11,58,3800
89,21,75,500
39,10,57,3900
88,52,77,100
26,7,59,1600
42,33,75,2500
80,15,67,1000
98,45,55,600
85,25,65,3200
82,28,61,2000
80,25,56,900
36,52,60,4000
102,23,63,900
32,28,76,1700
106,28,53,1500
43,43,53,0
100,12,80,3100
104,15,54,1300
16,19,65,2300
50,9,52,1500
96,31,80,3400
11,52,55,1600
13,31,76,3100
34,40,72,800
